log_id,machine_id,operator_id,timestamp,engine_hours,rpm,hydraulic_pressure,fuel_level,fuel_used_l,idle_time_min,active_time_min,speed_kph,tilt_angle,temperature_c,engine_load_pct,seatbelt,proximity_alert,fault_codes,weather,ground_condition,shift
53,EXC002,OP004,2024-01-02 02:00:00,4645.8,2252,142.9,52.7,14.81,18,71,4.6,15.9,102.15058351706388,81.4,fastened,0,NONE,Sunny,Frozen,night
54,EXC005,OP008,2024-01-02 02:30:00,8063.6,1448,319.05399564083547,77.8,3.17,0,44,3.3,5.5,33.0,40.1,fastened,0,NONE,Sunny,Dry,day
55,EXC004,OP002,2024-01-02 03:00:00,9332.1,969,143.2,87.2,16.15,77,20,8.1,5.5,50.7,89.3,fastened,0,NONE,Sunny,Wet,day
56,EXC004,OP002,2024-01-02 03:30:00,7580.8,1484,305.9,80.6,5.85,50,116,13.1,8.9,93.3,94.2,unfastened,0,NONE,Cloudy,Frozen,night
57,EXC003,OP007,2024-01-02 04:00:00,3056.2,714,211.6,50.9,10.48,79,30,12.3,16.4,58.9,68.1,fastened,0,NONE,Cloudy,Muddy,day
58,EXC005,OP008,2024-01-02 04:30:00,11313.3,2394,203.3,79.0,17.56,54,118,4.6,14.1,32.1,46.3,fastened,0,NONE,Sunny,Muddy,day
59,EXC004,OP006,2024-01-02 05:00:00,6189.4,2243,167.6,76.8,4.54,84,40,4.8,4.3,71.1,42.9,fastened,0,NONE,Cloudy,Frozen,day
60,EXC004,OP005,2024-01-02 05:30:00,9929.7,656,198.8,48.3,4.0,21,72,4.2,19.7,65.0,55.0,fastened,0,NONE,Windy,Wet,day
61,EXC005,OP007,2024-01-02 06:00:00,205.0,1077,124.4,36.7,15.41,29,20,10.9,21.4,104.1,47.8,fastened,0,NONE,Windy,Wet,day
62,EXC005,OP004,2024-01-02 06:30:00,6261.4,890,250.5,44.0,0.73,71,97,17.2,17.4,105.4,69.2,fastened,1,NONE,Rainy,Wet,day
63,EXC005,OP003,2024-01-02 07:00:00,11233.4,2175,225.5,51.9,3.55,73,54,16.0,4.2,52.3,63.8,fastened,0,NONE,Windy,Frozen,night
64,EXC004,OP003,2024-01-02 07:30:00,8289.7,2157,121.9,19.0,6.23,86,70,9.1,17.5,95.6,51.1,fastened,0,NONE,Rainy,Muddy,night
65,EXC002,OP004,2024-01-02 08:00:00,1458.8,1216,122.5,25.8,13.42,79,24,6.8,11.5,71.2,88.3,fastened,0,NONE,Cloudy,Muddy,night
66,EXC002,OP004,2024-01-02 08:30:00,8548.7,1562,164.5,14.7,8.91,29,38,7.1,0.6,73.2,74.8,fastened,0,P0562,Rainy,Frozen,day
67,EXC001,OP002,2024-01-02 09:00:00,278.7,1766,204.1,11.9,7.38,60,54,14.5,14.7,39.1,76.3,fastened,0,P0217,Windy,Dry,night
68,EXC005,OP006,2024-01-02 09:30:00,4487.3,2391,149.0,58.8,16.58,85,17,11.7,21.5,96.9,79.6,fastened,0,P0217,Cloudy,Wet,day
69,EXC002,OP005,2024-01-02 10:00:00,2916.8,2079,128.9,71.3,13.73,23,91,0.7,9.5,78.5,90.2,fastened,0,NONE,Cloudy,Muddy,day
70,EXC002,OP002,2024-01-02 10:30:00,3097.5,1831,121.2,63.3,11.57,9,47,1.4,1.4,106.4,79.1,fastened,0,NONE,Cloudy,Muddy,night
71,EXC004,OP010,2024-01-02 11:00:00,593.6,1418,167.1,74.1,6.45,45,90,8.7,5.1,92.6,47.7,fastened,0,P0217,Rainy,Dry,day
72,EXC003,OP006,2024-01-02 11:30:00,7443.9,1902,238.5,43.6,15.53,42,30,9.6,12.3,67.3,62.2,fastened,0,NONE,Sunny,Dry,night
73,EXC002,OP002,2024-01-02 12:00:00,8928.7,2382,249.2,80.9,4.93,62,13,17.3,17.4,98.6,70.3,fastened,0,NONE,Rainy,Wet,night
74,EXC002,OP001,2024-01-02 12:30:00,3572.8,1643,162.2,76.0,17.05,17,111,2.5,4.1,55.5,50.7,unfastened,0,NONE,Sunny,Wet,night
75,EXC003,OP001,2024-01-02 13:00:00,7083.5,725,196.9,72.5,5.06,75,34,14.5,4.8,99.0,94.5,unfastened,0,P0100,Cloudy,Wet,day
76,EXC004,OP005,2024-01-02 13:30:00,6019.0,631,238.3,77.8,14.85,52,116,16.1,20.3,39.3,54.6,fastened,1,NONE,Sunny,Frozen,day
77,EXC001,OP003,2024-01-02 14:00:00,11918.5,1532,179.2,27.0,16.5,52,86,6.8,19.4,56.9,84.8,fastened,0,P0562,Windy,Dry,day
78,EXC004,OP010,2024-01-02 14:30:00,9766.8,2234,315.3,59.1,4.46,6,68,2.9,20.1,99.5,95.2,fastened,1,NONE,Sunny,Frozen,night
79,EXC001,OP005,2024-01-02 15:00:00,11357.9,2389,252.4,78.6,4.52,9,79,4.4,3.9,31.9,55.9,fastened,0,NONE,Sunny,Frozen,night
80,EXC005,OP008,2024-01-02 15:30:00,9909.5,1541,227.3,14.4,1.88,45,71,11.9,20.5,99.5,66.4,unfastened,0,NONE,Rainy,Frozen,day
81,EXC001,OP003,2024-01-02 16:00:00,7926.3,2340,209.5,28.5,6.47,33,51,1.3,7.5,33.2,54.4,unfastened,0,NONE,Cloudy,Frozen,night
82,EXC002,OP001,2024-01-02 16:30:00,946.9,616,208.2,51.6,9.25,15,112,15.9,11.4,82.7,87.7,fastened,0,P0562,Sunny,Dry,night
83,EXC002,OP004,2024-01-02 17:00:00,10308.9,2079,164.2,44.3,2.0,72,16,13.6,10.0,81.0,86.1,fastened,0,NONE,Rainy,Muddy,night
84,EXC005,OP007,2024-01-02 17:30:00,9156.1,977,117.0,91.9,3.06,37,92,14.3,21.5,101.1308725032963,91.8,fastened,0,NONE,Sunny,Wet,day
85,EXC002,OP008,2024-01-02 18:00:00,3457.7,1242,284.3,76.3,7.89,52,77,13.3,5.8,97.1,43.6,fastened,0,NONE,Cloudy,Frozen,night
86,EXC005,OP002,2024-01-02 18:30:00,3305.7,1230,299.2,8.9,3.65,61,27,2.3,21.1,36.9,82.9,fastened,1,NONE,Sunny,Muddy,day
87,EXC002,OP003,2024-01-02 19:00:00,6338.6,1004,314.4,49.2,14.04,65,83,13.2,21.1,98.1,73.6,fastened,1,P0562,Rainy,Dry,night
88,EXC002,OP005,2024-01-02 19:30:00,3467.7,1115,188.9,77.4,6.14,30,114,10.8,20.2,108.7,64.6,fastened,1,P0100,Cloudy,Dry,day
89,EXC003,OP004,2024-01-02 20:00:00,11650.4,1583,308.2,68.6,1.31,2,42,0.9,7.9,83.8,91.6,fastened,0,NONE,Rainy,Muddy,night
90,EXC001,OP003,2024-01-02 20:30:00,2403.5,886,254.5,56.1,3.2,85,72,5.1,8.3,104.4,90.3,fastened,0,NONE,Sunny,Muddy,night
91,EXC001,OP010,2024-01-02 21:00:00,1925.2,989,192.9,13.1,5.88,21,51,7.6,4.5,80.0,80.6,fastened,1,NONE,Sunny,Wet,night
92,EXC002,OP010,2024-01-02 21:30:00,617.9,1104,302.1,91.9,3.05,87,12,9.8,10.5,108.5,50.0,fastened,0,NONE,Sunny,Wet,night
93,EXC004,OP004,2024-01-02 22:00:00,6675.8,756,313.1,44.4,4.27,80,16,3.2,5.5,93.7,55.1,unfastened,0,P0217,Windy,Frozen,day
94,EXC001,OP001,2024-01-02 22:30:00,8909.9,2213,217.5,18.8,4.12,78,31,9.5,13.8,84.3,49.1,fastened,0,NONE,Windy,Dry,day
95,EXC005,OP004,2024-01-02 23:00:00,7077.5,1388,271.5,13.0,7.83,70,79,17.2,19.1,109.1,54.9,fastened,0,NONE,Sunny,Dry,night
96,EXC004,OP009,2024-01-02 23:30:00,2578.5,1659,270.9,79.6,9.67,89,97,6.4,20.9,68.7,84.8,fastened,0,P0217,Sunny,Dry,night
97,EXC002,OP009,2024-01-03 00:00:00,11088.8,1648,233.9,63.2,11.4,86,18,2.7,9.6,68.7,59.3,fastened,0,NONE,Sunny,Muddy,day
98,EXC001,OP008,2024-01-03 00:30:00,4613.6,1188,193.0,28.9,16.41,15,24,8.4,9.5,98.1,56.4,fastened,0,NONE,Rainy,Wet,night
99,EXC003,OP007,2024-01-03 01:00:00,1775.5,1085,129.6,55.6,12.54,55,104,8.1,11.3,83.9,54.4,unfastened,0,NONE,Windy,Frozen,day
100,EXC003,OP004,2024-01-03 01:30:00,2373.6,758,319.5,94.9,3.98,44,103,16.5,20.1,41.5,42.9,fastened,0,P0100,Windy,Dry,day
101,EXC001,OP005,2024-01-03 02:00:00,5314.7,2077,115.8,51.8,8.36,2,68,8.3,1.7,54.6,59.7,fastened,1,NONE,Sunny,Wet,day
102,EXC004,OP009,2024-01-03 02:30:00,6578.1,1952,129.7,42.1,13.27,70,96,4.4,6.7,76.8,45.5,fastened,0,NONE,Windy,Wet,day
103,EXC005,OP003,2024-01-03 03:00:00,7257.2,1779,182.5,34.2,10.21,9,33,4.0,4.3,31.3,72.6,fastened,0,NONE,Cloudy,Frozen,day
104,EXC003,OP005,2024-01-03 03:30:00,971.5,1893,187.7,22.3,3.46,83,13,0.6,17.1,70.8,50.7,fastened,0,NONE,Cloudy,Frozen,night
105,EXC003,OP009,2024-01-03 04:00:00,10423.2,2051,158.8,91.5,14.28,62,109,13.3,8.3,48.7,55.8,fastened,1,NONE,Windy,Dry,day
106,EXC005,OP007,2024-01-03 04:30:00,4103.5,604,117.2,21.3,3.94,21,46,4.8,21.2,48.9,67.7,fastened,0,NONE,Cloudy,Wet,night
107,EXC002,OP002,2024-01-03 05:00:00,3186.8,1808,297.9,10.2,6.53,3,49,14.2,21.5,101.6,62.1,fastened,0,NONE,Rainy,Muddy,night
108,EXC002,OP008,2024-01-03 05:30:00,8282.1,2388,212.9,18.6,13.34,88,65,9.9,19.4,52.6,58.6,fastened,1,P0100,Cloudy,Muddy,day
109,EXC005,OP001,2024-01-03 06:00:00,7401.4,2090,313.4,22.3,17.46,72,76,12.8,11.2,101.9,95.5,unfastened,1,NONE,Windy,Dry,night
110,EXC003,OP003,2024-01-03 06:30:00,11914.6,1078,293.2,45.4,16.08,39,18,3.7,20.5,72.7,43.4,fastened,0,NONE,Rainy,Wet,day
111,EXC005,OP010,2024-01-03 07:00:00,4983.2,1661,208.7,91.4,17.47,72,74,2.8,8.3,104.2,91.1,fastened,0,P0217,Windy,Muddy,night
112,EXC005,OP001,2024-01-03 07:30:00,2280.7,1072,185.4,17.8,7.44,69,73,7.5,8.6,88.3,93.9,fastened,0,NONE,Cloudy,Dry,day
113,EXC005,OP002,2024-01-03 08:00:00,11675.9,833,156.1,18.9,8.13,55,91,6.4,10.4,100.16581911747957,96.1,fastened,1,NONE,Cloudy,Muddy,day
114,EXC002,OP009,2024-01-03 08:30:00,5836.0,1141,318.5,46.5,3.35,46,117,9.1,15.3,32.8,90.0,fastened,0,NONE,Cloudy,Frozen,night
115,EXC004,OP007,2024-01-03 09:00:00,7972.2,1222,233.1,90.9,8.77,3,88,13.5,1.4,101.3,87.0,fastened,0,NONE,Rainy,Frozen,night
116,EXC003,OP003,2024-01-03 09:30:00,603.5,2331,285.0,93.1,14.16,26,76,16.4,11.8,86.6,53.7,fastened,0,NONE,Windy,Muddy,day
117,EXC004,OP004,2024-01-03 10:00:00,4097.0,1442,316.6,95.3,1.71,27,107,10.7,21.2,40.8,50.4,fastened,0,P0217,Sunny,Wet,night
118,EXC005,OP010,2024-01-03 10:30:00,11848.0,2113,149.3,17.1,6.08,9,64,4.1,1.5,104.8,75.0,fastened,0,NONE,Cloudy,Wet,day
119,EXC004,OP007,2024-01-03 11:00:00,11576.1,2317,303.5,72.0,16.7,63,15,5.3,1.9,69.1,71.1,unfastened,0,P0100,Sunny,Frozen,night
120,EXC003,OP004,2024-01-03 11:30:00,11811.4,1747,274.8,66.5,3.69,14,105,16.3,20.8,32.4,81.8,unfastened,0,NONE,Sunny,Dry,night
121,EXC005,OP002,2024-01-03 12:00:00,9904.8,1485,200.0,7.9,5.7,23,116,3.8,18.3,53.7,46.8,fastened,0,NONE,Rainy,Muddy,night
122,EXC005,OP005,2024-01-03 12:30:00,6056.1,681,308.7,68.9,16.86,74,116,1.7,0.0,98.8,56.6,fastened,1,NONE,Windy,Muddy,night
123,EXC002,OP004,2024-01-03 13:00:00,6907.0,2013,229.8,71.2,6.53,46,110,16.6,9.9,63.5,79.0,fastened,0,NONE,Windy,Dry,night
124,EXC005,OP005,2024-01-03 13:30:00,990.7,1188,186.6,67.4,15.04,49,109,0.5,6.8,94.6,75.5,fastened,0,P0562,Rainy,Wet,night
125,EXC003,OP001,2024-01-03 14:00:00,9540.0,1418,135.2,25.5,5.52,76,85,13.5,3.7,62.2,60.2,fastened,0,P0562,Sunny,Wet,night
126,EXC002,OP005,2024-01-03 14:30:00,9013.9,1203,260.1,36.6,5.0,38,14,2.6,1.1,40.7,48.6,fastened,0,NONE,Windy,Wet,day
127,EXC002,OP003,2024-01-03 15:00:00,8528.7,1065,270.3,57.6,3.77,55,92,12.0,5.5,45.6,89.8,fastened,0,NONE,Rainy,Muddy,night
128,EXC004,OP010,2024-01-03 15:30:00,4652.5,2294,145.5,18.1,1.6,71,20,3.4,14.4,100.5,88.2,fastened,0,P0562,Cloudy,Wet,night
129,EXC002,OP003,2024-01-03 16:00:00,3263.6,778,311.0010358991402,20.1,7.77,11,26,16.1,6.7,44.5,48.5,fastened,1,NONE,Windy,Dry,night
130,EXC004,OP003,2024-01-03 16:30:00,9738.0,2152,301.4171469738524,71.4,12.98,45,77,0.9,6.8,104.8,83.5,fastened,0,NONE,Sunny,Wet,night
131,EXC003,OP004,2024-01-03 17:00:00,11697.0,2165,222.6,20.7,9.34,49,111,5.5,5.8,53.1,48.2,fastened,0,NONE,Rainy,Frozen,day
132,EXC005,OP007,2024-01-03 17:30:00,5139.5,2309,232.0,6.6,7.63,12,34,14.1,2.1,107.7,66.2,fastened,0,NONE,Sunny,Frozen,day
133,EXC001,OP008,2024-01-03 18:00:00,760.6,1956,286.6,22.6,4.08,11,28,10.2,13.0,37.7,67.0,fastened,0,NONE,Rainy,Wet,day
134,EXC003,OP003,2024-01-03 18:30:00,10818.7,1332,105.8,12.2,12.46,23,67,7.6,16.1,73.9,63.3,fastened,0,NONE,Windy,Wet,day
135,EXC002,OP007,2024-01-03 19:00:00,8304.4,1549,126.3,31.8,4.92,38,48,7.8,21.6,32.8,59.8,fastened,0,P0217,Rainy,Wet,night
136,EXC004,OP002,2024-01-03 19:30:00,8089.9,2388,106.9,77.2,1.06,38,102,9.0,5.0,107.37758342092893,67.1,fastened,0,NONE,Windy,Wet,night
137,EXC005,OP002,2024-01-03 20:00:00,11336.7,700,307.8,79.7,17.38,20,31,17.9,3.6,98.4,81.3,fastened,0,NONE,Windy,Wet,night
138,EXC002,OP003,2024-01-03 20:30:00,8078.9,850,212.8,11.8,16.99,81,113,12.1,15.6,45.0,59.2,fastened,0,NONE,Windy,Muddy,day
139,EXC005,OP007,2024-01-03 21:00:00,7448.4,2085,154.1,59.2,4.25,26,38,8.8,7.1,101.3,73.6,fastened,0,P0217,Windy,Muddy,night
140,EXC004,OP006,2024-01-03 21:30:00,8550.3,677,104.2,13.4,4.68,86,46,5.8,11.2,77.2,60.8,fastened,0,NONE,Rainy,Wet,day
141,EXC001,OP005,2024-01-03 22:00:00,5858.9,2365,121.2,22.8,10.65,59,83,9.1,15.6,88.1,96.3,fastened,0,NONE,Cloudy,Muddy,night
142,EXC004,OP007,2024-01-03 22:30:00,3515.1,1262,258.4,79.5,7.98,84,103,16.6,9.2,58.8,79.7,unfastened,0,NONE,Rainy,Frozen,night
143,EXC003,OP002,2024-01-03 23:00:00,3096.3,1873,205.7,97.3,16.04,58,62,3.9,8.2,108.8,89.4,unfastened,1,NONE,Sunny,Muddy,day
144,EXC005,OP003,2024-01-03 23:30:00,8742.3,2367,261.6,30.8,7.97,48,65,6.2,9.7,96.1,65.1,fastened,0,NONE,Cloudy,Dry,night
145,EXC003,OP008,2024-01-04 00:00:00,2987.0,1633,158.3,78.8,2.88,44,80,1.2,10.1,102.9,54.9,fastened,0,NONE,Cloudy,Wet,night
146,EXC002,OP010,2024-01-04 00:30:00,11180.8,643,196.7,37.5,10.07,23,82,11.3,0.0,41.7,44.6,fastened,1,NONE,Cloudy,Dry,day
147,EXC001,OP001,2024-01-04 01:00:00,4895.7,1547,237.2,79.5,2.48,16,96,13.8,4.1,51.3,87.4,unfastened,0,NONE,Cloudy,Wet,night
148,EXC001,OP004,2024-01-04 01:30:00,7639.5,745,146.7,59.2,8.33,71,23,11.4,13.4,97.3,80.5,fastened,1,NONE,Sunny,Muddy,day
149,EXC004,OP009,2024-01-04 02:00:00,609.3,2295,163.3,56.9,10.6,35,115,14.6,0.4,83.6,87.6,fastened,1,NONE,Windy,Frozen,day
150,EXC005,OP009,2024-01-04 02:30:00,5442.4,1214,131.2,81.8,17.04,16,16,13.9,6.1,60.8,79.4,fastened,0,NONE,Rainy,Muddy,day
151,EXC004,OP003,2024-01-04 03:00:00,4854.8,2320,256.6,71.1,5.63,37,35,17.5,9.7,67.1,42.2,unfastened,0,NONE,Cloudy,Dry,day
152,EXC004,OP001,2024-01-04 03:30:00,9080.4,2377,228.1,97.2,11.86,44,95,8.1,9.7,65.1,64.6,fastened,0,NONE,Windy,Wet,night
153,EXC001,OP006,2024-01-04 04:00:00,759.5,1176,197.8,39.5,0.5,60,40,1.5,1.1,74.6,59.2,fastened,0,NONE,Windy,Muddy,night
154,EXC001,OP007,2024-01-04 04:30:00,4888.0,1218,224.8,95.7,15.75,89,75,9.6,19.3,69.1,65.1,unfastened,0,NONE,Rainy,Dry,day
155,EXC003,OP003,2024-01-04 05:00:00,10311.8,2165,137.4,83.6,6.05,87,27,13.9,2.0,66.4,78.7,fastened,1,NONE,Cloudy,Dry,day
156,EXC003,OP004,2024-01-04 05:30:00,8055.1,1820,278.8,51.9,4.71,78,100,7.3,19.3,56.2,72.8,fastened,0,NONE,Cloudy,Dry,night
157,EXC003,OP007,2024-01-04 06:00:00,9351.4,1504,266.2,52.6,2.29,74,43,8.1,21.8,65.9,76.9,fastened,0,P0562,Cloudy,Frozen,day
158,EXC005,OP006,2024-01-04 06:30:00,9182.9,2155,140.0,90.7,14.24,83,22,13.3,3.9,44.2,52.2,fastened,0,NONE,Cloudy,Dry,night
159,EXC002,OP003,2024-01-04 07:00:00,7977.2,1062,294.9,60.8,1.49,64,22,0.3,1.6,45.3,68.8,fastened,0,P0100,Windy,Wet,day
160,EXC005,OP009,2024-01-04 07:30:00,4756.4,1807,186.7,37.1,11.31,8,28,11.8,2.7,85.1,53.6,fastened,1,P0217,Cloudy,Wet,day
