task_id,machine_id,operator_id,task_type,task_complexity,material_type,quantity_m3,target_depth_m,haul_distance_m,weather,temperature_c,rainfall_mm,wind_speed_kmh,ground_condition,operator_skill,operator_experience_yrs,previous_similar_tasks,previous_avg_completion_min,machine_age_yrs,engine_hours,bucket_capacity_m3,avg_engine_load_pct,machine_efficiency_pct,estimated_time_min,actual_completion_time_min,completed,date
98,EXC002,OP002,Material Loading,Medium,Sand,171.7,3.9,78.8,Cloudy,35.0,0.0,10.7,Dry,Beginner,2.0,259,22.6,7.4,7320.0,1.2,61.1,66.4,87.3,90.9,1,2024-10-27 00:00:00
99,EXC003,OP002,Material Loading,Low,Gravel,233.5,5.7,6.1,Windy,33.2,0.0,58.5,Muddy,Beginner,13.6,23,10.6,14.6,6694.0,1.5,88.2,85.3,99.0,90.8,1,2024-09-15 00:00:00
100,EXC002,OP008,Earth Excavation,High,Sand,142.2,2.2,97.1,Sunny,32.1,0.0,5.5,Frozen,Intermediate,3.0,29,77.8,3.7,5674.0,1.2,92.4,89.2,151.5,160.8,1,2024-03-29 00:00:00
101,EXC005,OP010,Material Loading,High,Soil,247.2,1.3,13.4,Cloudy,29.9,0.0,5.1,Dry,Expert,1.5,85,36.7,7.4,9094.0,0.8,65.1,92.9,107.9,100.6,1,2024-03-10 00:00:00
102,EXC002,OP005,Earth Excavation,Medium,Mixed,63.6,4.3,9.5,Rainy,15.6,7.0,6.6,Wet,Beginner,6.5,91,71.2,8.1,3500.0,0.8,51.4,85.3,157.3,155.6,1,2024-03-31 00:00:00
103,EXC003,OP007,Trenching,Medium,Sand,146.7,3.8,7.1,Windy,24.1,0.0,27.2,Dry,Intermediate,6.6,282,80.7,2.0,9437.0,2.0,51.0,84.8,62.4,60.0,1,2024-12-24 00:00:00
104,EXC001,OP006,Demolition,High,Soil,62.3,2.3,98.8,Cloudy,5.6,0.0,6.8,Wet,Expert,12.7,5,111.3,5.2,5862.0,1.2,94.0,80.7,113.4,118.7,1,2024-06-03 00:00:00
105,EXC003,OP002,Compaction,Medium,Mixed,141.0,5.2,47.6,Windy,15.3,0.0,52.8,Frozen,Beginner,6.2,55,45.9,8.2,11723.0,1.0,63.6,66.0,196.8,200.5,1,2024-05-16 00:00:00
106,EXC002,OP003,Trenching,Medium,Rock,132.6,2.5,86.0,Cloudy,26.2,0.0,3.2,Wet,Beginner,13.6,285,82.9,5.5,660.0,1.5,72.3,69.1,146.5,150.4,1,2024-08-09 00:00:00
107,EXC005,OP004,Material Loading,High,Sand,65.8,3.4,55.7,Windy,11.6,0.0,40.7,Wet,Intermediate,0.7,11,32.9,14.0,3322.0,1.0,54.9,72.9,77.7,88.0,1,2024-12-23 00:00:00
108,EXC005,OP008,Material Loading,Medium,Clay,74.5,4.7,99.1,Cloudy,39.4,0.0,7.6,Dry,Intermediate,8.2,143,41.6,5.1,9332.0,0.8,84.4,92.9,74.8,68.5,1,2024-04-22 00:00:00
109,EXC005,OP005,Material Loading,Low,Mixed,50.5,4.1,8.2,Windy,33.5,0.0,50.0,Wet,Expert,9.2,82,42.3,12.9,1355.0,1.5,68.6,66.4,28.3,24.4,1,2024-03-08 00:00:00
110,EXC005,OP002,Trenching,High,Mixed,140.6,2.8,29.5,Windy,23.6,0.0,17.6,Wet,Expert,5.6,200,77.0,8.7,5078.0,1.0,87.1,73.5,186.9,193.3,1,2024-02-21 00:00:00
111,EXC002,OP009,Grading,Low,Clay,88.0,5.6,15.9,Windy,25.9,0.0,46.1,Wet,Intermediate,1.4,20,55.9,9.2,9828.0,0.8,73.1,73.5,130.4,139.0,1,2024-04-05 00:00:00
112,EXC005,OP008,Trenching,Low,Gravel,64.4,1.1,100.0,Cloudy,21.8,0.0,13.1,Muddy,Intermediate,7.5,196,75.1,13.9,1236.0,1.2,55.1,95.7,73.0,81.6,1,2024-05-31 00:00:00
113,EXC005,OP001,Grading,High,Mixed,44.8,0.7,67.1,Cloudy,17.5,0.0,9.8,Wet,Expert,1.9,262,66.1,14.3,9032.0,1.2,56.1,75.6,60.2,54.4,1,2024-07-17 00:00:00
114,EXC004,OP006,Trenching,Medium,Rock,167.9,2.6,37.8,Sunny,24.8,0.0,11.6,Dry,Expert,6.0,273,84.9,9.0,11601.0,1.0,73.5,95.0,153.2,146.9,1,2024-12-26 00:00:00
115,EXC001,OP002,Earth Excavation,Low,Rock,195.3,3.3,73.7,Rainy,37.2,31.4,9.2,Dry,Beginner,11.4,10,82.5,12.7,10455.0,0.8,75.0,72.1,303.9,300.0,1,2024-09-14 00:00:00
116,EXC001,OP003,Compaction,Low,Clay,198.1,1.6,32.8,Rainy,41.0,35.4,9.2,Dry,Intermediate,5.0,269,54.3,4.8,666.0,2.0,82.8,66.4,53.0,53.7,1,2024-06-21 00:00:00
117,EXC005,OP001,Demolition,Medium,Soil,124.9,3.8,90.3,Cloudy,41.8,0.0,1.2,Frozen,Intermediate,6.1,86,95.2,3.1,4355.0,0.8,57.9,90.2,300.1,296.8,1,2024-09-29 00:00:00
