log_id,fuel_level_pct,fuel_available_l,engine_load_pct,temperature_c,ground_condition,task_type,task_duration_est_min,consumption_l_per_hour,fuel_needed_l,fuel_after_task_l,fuel_after_task_pct,range_km,distance_to_station_km,can_complete_task,can_reach_station,risk_level
26,99.3,407.1,91.7,34.9,Frozen,Demolition,270.2,35.62,160.4,246.7,60.2,97.1,26.18,1,1,LOW
27,78.3,321.0,78.4,19.9,Frozen,Earth Excavation,229.1,28.34,108.2,212.8,51.9,96.3,13.49,1,1,LOW
28,27.9,114.4,47.1,38.2,Frozen,Earth Excavation,70.2,24.75,29.0,85.4,20.8,39.3,30.17,1,1,LOW
29,34.5,141.4,85.1,43.9,Wet,Grading,60.3,28.75,28.9,112.5,27.4,41.8,1.19,1,1,LOW
30,17.5,71.8,79.3,9.9,Wet,Grading,214.4,25.05,89.5,0.0,0.0,24.4,29.27,0,0,CRITICAL
31,81.4,333.7,81.5,34.6,Frozen,Earth Excavation,54.7,29.14,26.6,307.1,74.9,97.3,46.41,1,1,LOW
32,33.6,137.8,68.3,31.5,Wet,Demolition,100.2,30.1,50.3,87.5,21.3,38.9,46.28,1,0,LOW
33,57.7,236.6,76.8,9.2,Muddy,Earth Excavation,137.4,31.21,71.5,165.1,40.3,64.4,48.33,1,1,LOW
34,93.6,383.8,86.7,23.7,Muddy,Compaction,25.0,25.57,10.7,373.1,91.0,127.6,5.9,1,1,LOW
35,80.7,330.9,53.5,26.2,Frozen,Grading,263.0,22.96,100.6,230.3,56.2,122.5,30.35,1,1,LOW
36,40.5,166.1,64.7,31.1,Frozen,Demolition,147.1,30.13,73.9,92.2,22.5,46.9,12.77,1,1,LOW
37,75.9,311.2,87.4,9.2,Frozen,Earth Excavation,186.4,31.05,96.5,214.7,52.4,85.2,7.74,1,1,LOW
38,34.5,141.4,48.3,41.8,Muddy,Earth Excavation,99.7,26.91,44.7,96.7,23.6,44.7,8.1,1,1,LOW
39,7.0,28.7,43.2,12.0,Frozen,Earth Excavation,185.5,24.22,74.9,0.0,0.0,10.1,34.2,0,0,CRITICAL
40,35.2,144.3,69.3,40.0,Frozen,Demolition,32.2,34.16,18.3,126.0,30.7,35.9,9.48,1,1,LOW
41,28.7,117.7,73.1,21.7,Wet,Earth Excavation,124.6,26.67,55.4,62.3,15.2,37.5,26.43,1,1,LOW
42,84.2,345.2,43.0,42.0,Muddy,Earth Excavation,256.2,26.27,112.2,233.0,56.8,111.7,45.18,1,1,LOW
43,81.2,332.9,85.2,30.7,Muddy,Compaction,57.7,25.84,24.8,308.1,75.1,109.5,27.04,1,1,LOW
44,86.5,354.6,66.8,20.4,Muddy,Grading,94.6,25.34,40.0,314.6,76.7,118.9,7.42,1,1,LOW
45,44.6,182.9,53.5,19.7,Muddy,Material Loading,111.7,22.72,42.3,140.6,34.3,68.4,19.28,1,1,LOW
46,33.2,136.1,95.0,41.7,Frozen,Material Loading,111.9,29.28,54.6,81.5,19.9,39.5,27.0,1,1,LOW
47,67.0,274.7,86.7,26.3,Frozen,Grading,100.7,26.77,44.9,229.8,56.0,87.2,36.88,1,1,LOW
48,71.0,291.1,89.9,10.3,Frozen,Grading,46.6,28.12,21.8,269.3,65.7,88.0,36.42,1,1,LOW
49,93.9,385.0,48.0,43.4,Dry,Compaction,186.2,18.98,58.9,326.1,79.5,172.4,39.24,1,1,LOW
50,94.9,389.1,54.7,28.6,Dry,Earth Excavation,192.5,23.54,75.5,313.6,76.5,140.5,8.98,1,1,LOW
51,59.4,243.5,67.0,25.9,Muddy,Compaction,243.8,22.58,91.8,151.7,37.0,91.7,24.86,1,1,LOW
52,93.5,383.4,46.9,9.7,Muddy,Earth Excavation,204.2,25.68,87.4,296.0,72.2,126.9,21.22,1,1,LOW
53,68.8,282.1,59.4,40.9,Frozen,Compaction,95.7,22.51,35.9,246.2,60.0,106.5,18.53,1,1,LOW
54,20.0,82.0,48.6,42.4,Muddy,Material Loading,127.3,23.61,50.1,31.9,7.8,29.5,36.62,0,0,CRITICAL
55,93.9,385.0,85.3,24.2,Dry,Material Loading,296.3,23.48,116.0,269.0,65.6,139.4,36.03,1,1,LOW
56,16.3,66.8,89.3,30.5,Dry,Earth Excavation,184.7,27.24,83.9,0.0,0.0,20.8,34.46,0,0,CRITICAL
57,48.2,197.6,87.9,16.8,Frozen,Material Loading,143.8,26.39,63.2,134.4,32.8,63.6,15.45,1,1,LOW
58,79.2,324.7,46.4,44.9,Dry,Demolition,99.5,27.26,45.2,279.5,68.2,101.2,41.93,1,1,LOW
59,99.9,409.6,78.6,31.0,Muddy,Earth Excavation,271.2,30.18,136.4,273.2,66.6,115.4,1.94,1,1,LOW
60,18.6,76.3,85.1,12.9,Dry,Demolition,203.8,30.25,102.7,0.0,0.0,21.4,2.29,0,1,HIGH
61,9.9,40.6,75.1,37.1,Frozen,Trenching,257.8,30.67,131.8,0.0,0.0,11.3,3.33,0,1,HIGH
62,93.1,381.7,84.8,32.9,Frozen,Demolition,31.2,34.57,18.0,363.7,88.7,93.9,10.49,1,1,LOW
63,64.9,266.1,89.4,11.2,Frozen,Compaction,74.1,25.32,31.3,234.8,57.3,89.3,13.9,1,1,LOW
64,98.1,402.2,75.5,7.2,Dry,Grading,31.9,22.27,11.8,390.4,95.2,153.5,44.27,1,1,LOW
65,21.4,87.7,45.3,12.3,Wet,Demolition,148.4,26.67,66.0,21.7,5.3,28.0,39.31,0,0,CRITICAL
66,59.4,243.5,48.4,42.8,Muddy,Trenching,181.8,28.92,87.6,155.9,38.0,71.6,35.14,1,1,LOW
67,94.4,387.0,48.6,25.3,Muddy,Material Loading,152.8,22.67,57.7,329.3,80.3,145.1,6.4,1,1,LOW
68,31.4,128.7,57.7,22.1,Frozen,Grading,197.7,23.33,76.9,51.8,12.6,46.9,20.88,1,1,LOW
69,25.7,105.4,74.1,17.7,Frozen,Earth Excavation,137.2,28.92,66.1,39.3,9.6,31.0,23.97,0,1,HIGH
70,59.4,243.5,72.8,33.1,Muddy,Grading,202.7,26.83,90.6,152.9,37.3,77.1,16.15,1,1,LOW
71,57.2,234.5,65.0,30.0,Muddy,Material Loading,163.6,24.72,67.4,167.1,40.8,80.6,36.97,1,1,LOW
72,92.5,379.2,69.2,25.8,Wet,Compaction,108.0,22.18,39.9,339.3,82.8,145.3,41.95,1,1,LOW
73,85.0,348.5,43.2,16.2,Muddy,Material Loading,68.4,21.05,24.0,324.5,79.1,140.7,16.04,1,1,LOW
74,6.4,26.2,88.0,39.3,Wet,Material Loading,63.0,25.32,26.6,0.0,0.0,8.8,30.24,0,0,CRITICAL
75,39.7,162.8,95.6,44.8,Wet,Compaction,107.1,25.86,46.2,116.6,28.4,53.5,34.54,1,1,LOW
76,41.8,171.4,77.2,5.4,Muddy,Trenching,167.0,31.37,87.3,84.1,20.5,46.4,8.61,1,1,LOW
77,84.4,346.0,97.4,27.2,Dry,Demolition,297.3,32.72,162.1,183.9,44.9,89.9,7.51,1,1,LOW
78,42.3,173.4,44.6,35.2,Dry,Material Loading,151.4,18.32,46.2,127.2,31.0,80.5,7.96,1,1,LOW
79,91.2,373.9,42.6,14.3,Dry,Trenching,157.3,21.26,55.7,318.2,77.6,149.5,29.53,1,1,LOW
80,13.0,53.3,54.1,38.7,Frozen,Grading,201.8,23.91,80.4,0.0,0.0,18.9,33.68,0,0,CRITICAL
81,10.5,43.0,61.3,26.6,Frozen,Material Loading,256.5,23.14,98.9,0.0,0.0,15.8,24.39,0,0,CRITICAL
82,85.9,352.2,69.3,41.4,Wet,Grading,258.1,25.09,107.9,244.3,59.6,119.3,17.36,1,1,LOW
83,42.9,175.9,93.2,30.2,Wet,Trenching,114.9,31.15,59.7,116.2,28.3,48.0,9.98,1,1,LOW
84,93.1,381.7,66.0,17.3,Dry,Grading,22.0,21.68,7.9,373.8,91.2,149.7,14.26,1,1,LOW
85,65.2,267.3,96.9,29.8,Frozen,Material Loading,233.2,25.99,101.0,166.3,40.6,87.4,45.21,1,1,LOW
86,96.5,395.6,85.4,39.7,Dry,Earth Excavation,225.1,27.29,102.4,293.2,71.5,123.2,22.28,1,1,LOW
87,67.1,275.1,96.2,44.4,Dry,Trenching,225.5,31.29,117.6,157.5,38.4,74.7,37.62,1,1,LOW
88,16.8,68.9,42.4,36.1,Frozen,Material Loading,296.0,20.05,98.9,0.0,0.0,29.2,23.52,0,1,HIGH
89,44.1,180.8,86.0,8.4,Dry,Grading,244.6,24.73,100.8,80.0,19.5,62.1,46.27,1,1,LOW
90,8.5,34.9,61.6,6.9,Wet,Earth Excavation,209.1,25.93,90.4,0.0,0.0,11.4,35.81,0,0,CRITICAL
91,87.2,357.5,82.9,37.0,Wet,Earth Excavation,85.7,28.75,41.1,316.4,77.2,105.7,31.28,1,1,LOW
92,5.4,22.1,69.8,32.1,Muddy,Earth Excavation,132.4,29.95,66.1,0.0,0.0,6.3,44.83,0,0,CRITICAL
93,27.6,113.2,89.5,18.9,Frozen,Demolition,103.7,34.47,59.6,53.6,13.1,27.9,29.72,1,0,LOW
94,31.1,127.5,91.4,12.5,Muddy,Earth Excavation,115.7,32.73,63.1,64.4,15.7,33.1,36.02,1,0,LOW
95,99.9,409.6,57.2,21.3,Muddy,Earth Excavation,181.0,26.82,80.9,328.7,80.2,129.8,49.88,1,1,LOW
96,61.5,252.2,62.8,41.6,Dry,Material Loading,57.6,21.22,20.4,231.8,56.5,101.0,18.59,1,1,LOW
97,24.2,99.2,41.0,23.1,Frozen,Grading,116.1,20.83,40.3,58.9,14.4,40.5,21.31,1,1,MEDIUM
98,76.4,313.2,71.4,16.4,Wet,Demolition,85.8,30.92,44.2,269.0,65.6,86.1,16.6,1,1,LOW
99,55.3,226.7,83.1,28.6,Muddy,Grading,103.8,28.77,49.8,176.9,43.1,67.0,12.45,1,1,LOW
100,19.8,81.2,90.7,16.3,Dry,Grading,241.8,25.28,101.9,0.0,0.0,27.3,39.3,0,0,CRITICAL
101,50.2,205.8,97.7,32.0,Wet,Compaction,272.7,24.69,112.2,93.6,22.8,70.9,39.49,1,1,LOW
102,58.4,239.4,45.9,31.1,Wet,Demolition,163.6,27.33,74.5,164.9,40.2,74.5,21.93,1,1,LOW
103,96.2,394.4,46.0,6.6,Dry,Trenching,38.3,22.79,14.5,379.9,92.7,147.1,23.03,1,1,LOW
104,34.7,142.3,43.0,9.5,Muddy,Material Loading,36.9,21.49,13.2,129.1,31.5,56.3,35.06,1,1,LOW
105,33.7,138.2,62.9,21.7,Dry,Earth Excavation,51.4,23.95,20.5,117.7,28.7,49.0,43.21,1,1,LOW
106,53.3,218.5,68.4,18.3,Wet,Material Loading,238.6,22.93,91.2,127.3,31.0,81.0,42.14,1,1,LOW
107,35.6,146.0,54.1,24.2,Frozen,Compaction,83.9,21.36,29.9,116.1,28.3,58.1,16.87,1,1,LOW
108,9.6,39.4,66.7,33.5,Dry,Earth Excavation,33.3,24.56,13.6,25.8,6.3,13.6,7.34,0,1,HIGH
109,5.9,24.2,50.9,6.3,Dry,Earth Excavation,193.6,23.09,74.5,0.0,0.0,8.9,12.46,0,0,CRITICAL
110,61.1,250.5,89.3,5.2,Wet,Demolition,193.4,33.18,107.0,143.5,35.0,64.2,8.56,1,1,LOW
111,86.3,353.8,54.7,41.8,Muddy,Material Loading,189.0,25.24,79.5,274.3,66.9,119.1,49.24,1,1,LOW
112,82.3,337.4,58.5,37.0,Dry,Grading,80.6,22.0,29.6,307.8,75.1,130.4,20.99,1,1,LOW
113,12.4,50.8,41.7,18.9,Wet,Earth Excavation,66.3,23.92,26.4,24.4,6.0,18.1,36.4,0,0,CRITICAL
114,75.2,308.3,58.4,40.6,Dry,Grading,55.3,21.69,20.0,288.3,70.3,120.8,7.61,1,1,LOW
115,21.4,87.7,69.4,44.7,Wet,Earth Excavation,24.6,29.26,12.0,75.7,18.5,25.5,49.66,1,0,MEDIUM
116,17.1,70.1,92.0,40.2,Wet,Grading,194.1,27.76,89.8,0.0,0.0,21.5,14.02,0,1,HIGH
117,61.5,252.2,57.1,31.5,Frozen,Demolition,25.1,30.12,12.6,239.6,58.4,71.2,29.99,1,1,LOW
118,88.0,360.8,54.7,29.4,Dry,Grading,130.9,21.52,46.9,313.9,76.6,142.5,34.04,1,1,LOW
119,58.9,241.5,84.0,44.3,Dry,Material Loading,164.1,24.33,66.5,175.0,42.7,84.4,1.12,1,1,LOW
120,54.4,223.0,63.7,8.8,Frozen,Demolition,130.6,30.76,67.0,156.0,38.0,61.6,34.29,1,1,LOW
121,96.3,394.8,50.3,13.0,Frozen,Demolition,275.5,27.48,126.2,268.6,65.5,122.1,11.0,1,1,LOW
122,74.7,306.3,90.9,20.2,Wet,Grading,227.7,27.08,102.8,203.5,49.6,96.1,36.69,1,1,LOW
123,59.1,242.3,46.1,41.2,Muddy,Demolition,243.5,31.55,128.0,114.3,27.9,65.3,5.44,1,1,LOW
124,75.6,310.0,41.3,44.2,Frozen,Material Loading,221.4,22.21,82.0,228.0,55.6,118.6,44.43,1,1,LOW
125,35.3,144.7,75.3,28.2,Wet,Material Loading,188.5,23.52,73.9,70.8,17.3,52.3,46.8,1,1,LOW
126,23.7,97.2,61.9,20.8,Frozen,Earth Excavation,65.6,25.73,28.1,69.1,16.9,32.1,34.39,1,0,MEDIUM
127,95.7,392.4,54.1,9.0,Wet,Compaction,266.7,20.64,91.7,300.7,73.3,161.6,14.27,1,1,LOW
128,22.6,92.7,70.3,23.7,Wet,Trenching,32.6,28.44,15.5,77.2,18.8,27.7,24.33,1,1,MEDIUM
129,67.0,274.7,68.7,9.4,Dry,Trenching,102.5,25.78,44.0,230.7,56.3,90.6,38.36,1,1,LOW
130,90.7,371.9,97.1,44.3,Wet,Demolition,40.1,37.72,25.2,346.7,84.6,83.8,7.32,1,1,LOW
131,57.5,235.7,45.6,38.8,Muddy,Grading,171.9,24.17,69.2,166.5,40.6,82.9,8.68,1,1,LOW
132,20.2,82.8,89.4,28.4,Muddy,Compaction,102.9,26.45,45.4,37.4,9.1,26.6,18.88,0,1,HIGH
133,77.2,316.5,84.8,13.3,Muddy,Demolition,53.8,35.08,31.5,285.0,69.5,76.7,44.86,1,1,LOW
134,30.1,123.4,89.1,12.2,Muddy,Material Loading,146.0,28.17,68.5,54.9,13.4,37.2,12.64,1,1,LOW
135,85.9,352.2,90.7,18.6,Muddy,Grading,89.6,29.18,43.6,308.6,75.3,102.6,12.62,1,1,LOW
136,94.3,386.6,91.5,36.1,Wet,Grading,157.4,27.4,71.9,314.7,76.8,119.9,26.72,1,1,LOW
137,46.3,189.8,47.6,10.0,Dry,Demolition,155.0,25.26,65.3,124.5,30.4,63.9,47.68,1,1,LOW
138,57.7,236.6,52.0,15.1,Frozen,Earth Excavation,53.3,25.79,22.9,213.7,52.1,78.0,45.88,1,1,LOW
139,62.8,257.5,67.0,21.0,Muddy,Grading,72.4,26.43,31.9,225.6,55.0,82.8,49.44,1,1,LOW
140,75.5,309.6,67.2,11.1,Frozen,Demolition,115.6,31.85,61.4,248.2,60.5,82.6,2.98,1,1,LOW
141,80.5,330.1,76.1,35.0,Muddy,Compaction,79.3,24.19,32.0,298.1,72.7,116.0,46.23,1,1,LOW
142,65.7,269.4,40.1,44.7,Wet,Trenching,37.4,25.78,16.1,253.3,61.8,88.8,23.18,1,1,LOW
143,19.5,80.0,76.7,20.7,Dry,Demolition,109.4,29.69,54.1,25.9,6.3,22.9,36.45,0,0,CRITICAL
144,67.7,277.6,74.8,23.9,Muddy,Demolition,116.0,34.44,66.6,211.0,51.5,68.5,9.27,1,1,LOW
145,85.4,350.1,42.3,23.0,Wet,Demolition,229.9,26.17,100.3,249.8,60.9,113.7,49.59,1,1,LOW
146,67.7,277.6,57.5,42.9,Muddy,Material Loading,226.8,25.42,96.1,181.5,44.3,92.8,20.46,1,1,LOW
147,73.4,300.9,69.5,41.3,Wet,Material Loading,201.2,24.06,80.7,220.2,53.7,106.3,17.45,1,1,LOW
148,46.8,191.9,47.3,8.7,Wet,Compaction,203.5,19.68,66.7,125.2,30.5,82.9,33.31,1,1,LOW
149,36.0,147.6,51.5,36.1,Frozen,Demolition,89.1,29.0,43.1,104.5,25.5,43.3,33.56,1,1,LOW
150,31.1,127.5,48.0,16.3,Wet,Compaction,274.9,19.87,91.0,36.5,8.9,54.5,10.52,0,1,HIGH
151,71.6,293.6,95.3,29.4,Muddy,Trenching,195.1,35.03,113.9,179.7,43.8,71.2,16.36,1,1,LOW
152,43.0,176.3,79.8,5.9,Muddy,Material Loading,265.0,26.24,115.9,60.4,14.7,57.1,30.71,1,1,LOW
153,93.9,385.0,89.5,17.9,Frozen,Grading,157.2,27.32,71.6,313.4,76.4,119.8,31.79,1,1,LOW
154,28.2,115.6,92.9,42.0,Wet,Demolition,293.9,35.7,174.9,0.0,0.0,27.5,37.38,0,0,CRITICAL
155,77.4,317.3,67.9,23.3,Muddy,Trenching,200.5,30.37,101.5,215.8,52.6,88.8,14.82,1,1,LOW
156,60.7,248.9,63.8,13.8,Muddy,Compaction,261.0,23.21,101.0,147.9,36.1,91.2,8.8,1,1,LOW
157,36.9,151.3,86.3,38.6,Dry,Earth Excavation,236.8,27.47,108.4,42.9,10.5,46.8,6.23,1,1,LOW
158,99.9,409.6,51.2,11.2,Dry,Material Loading,193.5,20.18,65.1,344.5,84.0,172.5,46.68,1,1,LOW
159,11.6,47.6,48.0,36.6,Dry,Trenching,267.8,22.74,101.5,0.0,0.0,17.8,33.34,0,0,CRITICAL
160,84.1,344.8,50.2,21.9,Muddy,Grading,160.2,24.13,64.4,280.4,68.4,121.5,34.47,1,1,LOW
161,99.2,406.7,98.0,25.7,Dry,Earth Excavation,223.8,28.87,107.7,299.0,72.9,119.7,48.84,1,1,LOW
162,48.8,200.1,64.6,7.1,Wet,Compaction,118.9,20.68,41.0,159.1,38.8,82.2,39.48,1,1,LOW
163,83.0,340.3,64.2,17.9,Dry,Compaction,244.4,19.61,79.9,260.4,63.5,147.5,24.82,1,1,LOW
164,18.7,76.7,91.0,8.8,Wet,Earth Excavation,169.5,29.81,84.2,0.0,0.0,21.9,3.84,0,1,HIGH
165,5.0,20.5,65.3,36.0,Dry,Earth Excavation,202.6,24.4,82.4,0.0,0.0,7.1,41.24,0,0,CRITICAL
166,19.0,77.9,89.9,37.9,Muddy,Grading,249.4,29.83,124.0,0.0,0.0,22.2,5.09,0,1,HIGH
167,75.1,307.9,54.9,35.1,Dry,Grading,230.1,19.75,75.7,232.2,56.6,132.5,23.5,1,1,LOW
168,25.8,105.8,52.1,35.1,Frozen,Earth Excavation,44.1,25.89,19.0,86.8,21.2,34.7,9.23,1,1,LOW
169,83.2,341.1,63.1,44.6,Frozen,Earth Excavation,203.0,28.98,98.0,243.1,59.3,100.0,22.71,1,1,LOW
170,88.1,361.2,96.6,39.9,Wet,Trenching,81.8,32.81,44.7,316.5,77.2,93.6,32.98,1,1,LOW
171,74.8,306.7,72.9,27.0,Wet,Compaction,218.9,22.07,80.5,226.2,55.2,118.1,1.82,1,1,LOW
172,62.1,254.6,68.2,15.4,Wet,Material Loading,232.2,22.57,87.3,167.3,40.8,95.9,41.42,1,1,LOW
173,41.6,170.6,55.7,25.9,Dry,Trenching,177.9,24.45,72.5,98.1,23.9,59.3,33.99,1,1,LOW
174,5.1,20.9,52.3,40.8,Frozen,Grading,68.1,24.91,28.3,0.0,0.0,7.1,44.57,0,0,CRITICAL
175,50.2,205.8,94.3,7.4,Wet,Trenching,184.0,30.92,94.8,111.0,27.1,56.6,10.18,1,1,LOW
176,25.3,103.7,45.8,13.3,Dry,Material Loading,69.3,18.56,21.4,82.3,20.1,47.5,7.17,1,1,LOW
177,35.4,145.1,60.9,7.2,Muddy,Material Loading,94.1,23.92,37.5,107.6,26.2,51.6,30.72,1,1,LOW
178,89.4,366.5,93.9,9.0,Frozen,Earth Excavation,52.3,30.48,26.6,339.9,82.9,102.2,31.17,1,1,LOW
179,86.0,352.6,83.7,37.8,Muddy,Grading,299.1,29.33,146.2,206.4,50.3,102.2,2.69,1,1,LOW
180,35.8,146.8,95.0,28.1,Frozen,Compaction,67.7,24.96,28.2,118.6,28.9,50.0,48.94,1,1,LOW
181,51.9,212.8,96.3,20.2,Frozen,Material Loading,183.7,27.41,83.9,128.9,31.4,66.0,6.84,1,1,LOW
182,23.4,95.9,46.0,39.6,Dry,Grading,120.4,21.16,42.5,53.4,13.0,38.5,20.73,1,1,MEDIUM
183,65.1,266.9,93.8,42.3,Muddy,Material Loading,112.2,30.67,57.4,209.5,51.1,74.0,22.83,1,1,LOW
184,48.9,200.5,78.2,27.2,Wet,Trenching,116.8,30.03,58.5,142.0,34.6,56.8,19.24,1,1,LOW
185,20.8,85.3,81.9,20.6,Frozen,Trenching,177.5,30.71,90.9,0.0,0.0,23.6,37.9,0,0,CRITICAL
186,83.5,342.3,93.8,28.9,Dry,Compaction,34.7,22.5,13.0,329.3,80.3,129.3,47.3,1,1,LOW
187,92.8,380.5,73.6,5.2,Muddy,Earth Excavation,210.5,29.71,104.2,276.3,67.4,108.9,28.35,1,1,LOW
188,75.6,310.0,89.4,24.9,Dry,Material Loading,21.5,22.82,8.2,301.8,73.6,115.5,39.44,1,1,LOW
189,88.5,362.9,61.6,27.6,Dry,Trenching,65.0,23.82,25.8,337.1,82.2,129.5,38.86,1,1,LOW
190,56.0,229.6,96.0,43.5,Frozen,Demolition,72.5,38.09,46.0,183.6,44.8,51.2,29.92,1,1,LOW
191,40.6,166.5,45.9,37.4,Muddy,Material Loading,178.0,22.23,65.9,100.6,24.5,63.7,49.12,1,1,LOW
192,45.4,186.1,61.5,21.7,Dry,Earth Excavation,242.5,23.99,97.0,89.1,21.7,65.9,41.97,1,1,LOW
193,33.9,139.0,90.7,6.0,Frozen,Grading,149.8,27.47,68.6,70.4,17.2,43.0,34.66,1,1,LOW
194,68.5,280.9,61.9,29.7,Dry,Earth Excavation,149.3,23.04,57.3,223.6,54.5,103.6,26.35,1,1,LOW
195,18.3,75.0,50.9,18.8,Dry,Earth Excavation,285.2,22.7,107.9,0.0,0.0,28.1,20.55,0,1,HIGH
196,97.6,400.2,44.7,31.1,Frozen,Demolition,197.6,27.88,91.8,308.4,75.2,122.0,21.74,1,1,LOW
197,8.4,34.4,71.0,44.7,Wet,Demolition,31.3,33.45,17.4,17.0,4.1,8.7,35.44,0,0,CRITICAL
198,90.8,372.3,42.6,42.4,Frozen,Demolition,52.9,29.92,26.4,345.9,84.4,105.8,3.46,1,1,LOW
199,19.8,81.2,71.0,41.6,Frozen,Grading,131.2,27.2,59.5,21.7,5.3,25.4,22.53,0,1,HIGH
200,97.0,397.7,58.0,12.6,Muddy,Trenching,290.0,29.44,142.3,255.4,62.3,114.8,5.17,1,1,LOW
201,72.2,296.0,88.1,44.0,Muddy,Demolition,284.1,39.05,184.9,111.1,27.1,64.4,6.78,1,1,LOW
202,56.8,232.9,71.5,41.0,Dry,Demolition,217.4,29.63,107.4,125.5,30.6,66.8,24.41,1,1,LOW
203,41.7,171.0,61.0,20.7,Dry,Earth Excavation,41.7,23.27,16.2,154.8,37.8,62.5,39.1,1,1,LOW
204,93.4,382.9,75.5,6.4,Wet,Earth Excavation,77.6,27.84,36.0,346.9,84.6,116.9,48.8,1,1,LOW
205,54.0,221.4,94.3,44.1,Dry,Trenching,33.8,30.93,17.4,204.0,49.8,60.8,8.1,1,1,LOW
206,23.5,96.3,73.0,41.5,Wet,Grading,195.3,25.81,84.0,12.3,3.0,31.7,10.49,0,1,HIGH
207,63.7,261.2,90.1,43.0,Dry,Material Loading,45.4,25.57,19.3,241.9,59.0,86.8,11.68,1,1,LOW
208,94.8,388.7,61.9,35.8,Dry,Grading,71.2,21.9,26.0,362.7,88.5,150.9,16.38,1,1,LOW
209,68.9,282.5,65.2,14.1,Frozen,Compaction,67.3,21.75,24.4,258.1,63.0,110.4,46.87,1,1,LOW
210,15.2,62.3,68.9,25.8,Dry,Grading,142.3,21.82,51.7,10.6,2.6,24.3,49.74,0,0,CRITICAL
211,50.4,206.6,64.5,7.7,Muddy,Grading,83.8,26.06,36.4,170.2,41.5,67.4,32.06,1,1,LOW
212,98.2,402.6,67.2,40.9,Wet,Material Loading,36.9,23.86,14.7,387.9,94.6,143.4,41.2,1,1,LOW
